Run;WASM;WASM (shared buffer);
128;45.7000000000116;42.5999999999767;
129;45.5999999999767;42.2000000000116;
130;45.8000000000466;43;
131;45.1000000000349;42.7000000000116;
132;46.2999999999884;42.8000000000466;
133;46.7000000000116;43;
134;46.7000000000116;43;
135;46.7000000000116;43.0999999999767;
136;46.1999999999534;43;
137;46;42.9000000000233;
138;46.5;43.7000000000116;
139;45.9000000000233;43.7000000000116;
140;44.7999999999884;43.5;
141;45.7000000000116;43.5;
142;45.2999999999884;43.2000000000116;
143;45.6999999999534;42.5;
144;46.1000000000349;43;
145;46.0999999999767;43;
146;46.3000000000466;42.7999999999884;
147;45.5999999999767;42.5;
148;45.7999999999884;42.0999999999767;
149;45.5999999999767;42.2999999999884;
150;45.7999999999884;43;
151;45.7000000000116;42.3999999999651;
152;46;42.5;
153;45.7000000000116;42.6000000000349;
154;45.7999999999884;41.9000000000233;
155;46;42.1000000000349;
156;46;42.0999999999767;
157;49.5;42.2000000000116;
158;46.2000000000116;42.6000000000349;
159;45.5999999999767;42.2999999999884;
160;46.2999999999884;42;
161;46.0999999999767;42;
162;46.2999999999884;42;
163;45.8999999999651;42.1000000000349;
164;46.1000000000349;42.2000000000116;
165;45.7000000000116;41.7999999999884;
166;45.5999999999767;42.3000000000466;
167;46.1000000000349;42.2000000000116;
168;45.2999999999884;41.3000000000466;
169;45.7999999999884;41.9000000000233;
170;45.7000000000116;41.6999999999534;
171;45.8999999999651;41.7999999999884;
172;45.7999999999884;41.4000000000233;
173;45.5999999999767;41.5;
174;46.5999999999767;41.5;
175;46.5;41.9000000000233;
176;46.7000000000116;42.7999999999884;
177;46.5;42;
178;46.0999999999767;43.6000000000349;
179;45.7000000000116;41.5;
180;45.5999999999767;42.5;
181;45.5;41.8999999999651;
182;46.5;42.6000000000349;
183;45.3999999999651;41.9000000000233;
184;46;41.7999999999884;
185;46.5999999999767;41.9000000000233;
186;47.7000000000116;41.5999999999767;
187;47.2999999999884;41.9000000000233;
188;46;41.8999999999651;
189;46.4000000000233;42.1999999999534;
190;45.2999999999884;42.8999999999651;
191;46;42.4000000000233;
192;46.2000000000116;43.5;
193;45.9000000000233;43.7999999999884;
194;46;43.6999999999534;
195;46.2999999999884;43;
196;45.6000000000349;42.5999999999767;
197;46.8999999999651;42.1000000000349;
198;46;41.7999999999884;
199;46.9000000000233;41.7999999999884;
200;45.6999999999534;41.8999999999651;
201;46.2999999999884;42;
202;46.1000000000349;42;
203;45.7000000000116;42.2999999999884;
204;46.5;42.0999999999767;
205;45.7000000000116;42.2000000000116;
206;46.2000000000116;41.8999999999651;
207;45.6999999999534;42.6000000000349;
208;46;41.8999999999651;
209;47.4000000000233;41.5999999999767;
210;46;42;
211;45.7000000000116;41.5999999999767;
212;46.7000000000116;41.7999999999884;
213;46.2999999999302;41.7000000000699;
214;45.9000000000233;41.5999999999767;
215;46.4000000000233;41.8999999999069;
216;45.4000000000233;42.0999999999767;
217;46.1999999999534;42.4000000000233;
218;46.4000000000233;41.9000000000233;
219;46.0999999999767;42.2000000000699;
220;45.8000000000466;41.9000000000233;
221;46.2000000000699;41.6999999999534;
222;46.0999999999767;41.6999999999534;
223;46.0999999999767;41.8000000000466;
224;46.3000000000466;41.9000000000233;
225;46.2000000000699;41.6999999999534;
226;46.1999999999534;41.3000000000466;
227;46.7000000000699;42.1999999999534;
228;46.2999999999302;41.7000000000699;
229;46.4000000000233;42.0999999999767;
230;46.4000000000233;42.1999999999534;
231;46.5;41.7999999999302;
232;46.5999999999767;41.5;
233;46.0999999999767;41.8000000000466;
234;46.4000000000233;40.9000000000233;
235;45.6999999999534;41.0999999999767;
236;46.6999999999534;41.6000000000931;
237;46.1999999999534;41.7000000000699;
238;46.8000000000466;41.9000000000233;
239;45.9000000000233;41.9000000000233;
240;45.8999999999069;41.5;
241;46.4000000000233;41.9000000000233;
242;46.2000000000699;41.7999999999302;
243;45.9000000000233;41.6999999999534;
244;46.9000000000233;41.8999999999069;
245;46;41.1999999999534;
246;45.5;41.0999999999767;
247;46.4000000000233;41.2999999999302;
248;46.5;41.2999999999302;
249;48.4000000000233;41.2999999999302;
250;47.0999999999767;42;
251;46.5999999999767;41.2000000000699;
252;47;41.6999999999534;
253;46.7999999999302;42.2000000000699;
254;46.7000000000699;42.4000000000233;
255;45.9000000000233;44.0999999999767;
256;46;43.9000000000233;
257;46.3000000000466;43.1999999999534;
258;45.9000000000233;43.0999999999767;
259;45.9000000000233;44.3000000000466;
260;46.1000000000931;43;
261;46.6000000000931;42.1999999999534;
262;45.8999999999069;41.5;
263;46.8000000000466;42.1999999999534;
264;47.9000000000233;42.4000000000233;
265;47.6999999999534;41.5;
266;47.5;42.4000000000233;
267;47.3000000000466;42.1999999999534;
268;47.1999999999534;42;
269;47.1999999999534;42.5;
270;46.6999999999534;42.4000000000233;
271;46.5;44;
272;46;44.0999999999767;
273;46;44.0999999999767;
274;46.0999999999767;43.6999999999534;
275;46.1999999999534;43.3000000000466;
276;45.5999999999767;44.4000000000233;
277;46.3000000000466;43.2999999999302;
278;46.5;42.5;
279;46.5999999999767;42.4000000000233;
280;46.8000000000466;42.1999999999534;
281;47.9000000000233;42;
282;47.5;42.0999999999767;
283;46.2999999999302;42.2000000000699;
284;46.3000000000466;42.2999999999302;
285;45.0999999999767;42.1999999999534;
286;46.5999999999767;42;
287;46.0999999999767;43.5999999999767;
288;45.4000000000233;43;
289;46.4000000000233;42.7999999999302;
290;45.6999999999534;42.3000000000466;
291;46.1000000000931;41.6999999999534;
292;45.3000000000466;42.0999999999767;
293;46.4000000000233;41.8999999999069;
294;47.5;41.8000000000466;
295;46.2999999999302;41.8000000000466;
296;45.5;41.7000000000699;
297;45.3000000000466;41.9000000000233;
298;45.9000000000233;42.0999999999767;
299;45.7999999999302;42.6000000000931;
300;45.4000000000233;42.0999999999767;
301;45.5999999999767;41.9000000000233;
302;45.5999999999767;41.5999999999767;
303;45.6999999999534;44.2000000000699;
304;45.5999999999767;41.9000000000233;
305;46;41.6999999999534;
306;46.1999999999534;42;
307;47.6999999999534;41.9000000000233;
308;47.2999999999302;42.1000000000931;
309;47;41.9000000000233;
310;46.9000000000233;42.3999999999069;
311;46.5;42.5;
312;48;42.5999999999767;
313;46.2000000000699;44.6999999999534;
314;46.3000000000466;44.1999999999534;
315;46.0999999999767;43.6999999999534;
316;46;43.0999999999767;
317;46.0999999999767;43.7999999999302;
318;46.1999999999534;42.6000000000931;
319;46;41.8000000000466;
