Run;JS;WASM;
59;57.79999999998836;42.79999999998836;
60;57.90000000002328;41.90000000002328;
61;57.40000000002328;42.29999999998836;
62;57.59999999997672;42.90000000002328;
63;58;42.20000000001164;
64;57.70000000001164;42.70000000001164;
65;59;42.70000000001164;
66;57.800000000046566;42.29999999998836;
67;57.199999999953434;43.40000000002328;
68;57.20000000001164;42.40000000002328;
69;57.899999999965075;42.5;
70;57.29999999998836;42.79999999998836;
71;60.79999999998836;43.20000000001164;
72;57.5;42.90000000002328;
73;61.40000000002328;43.20000000001164;
74;57.399999999965075;43.20000000001164;
75;57.600000000034925;43;
76;57.59999999997672;43;
77;60.20000000001164;42.79999999998836;
78;57.29999999998836;43.29999999998836;
79;57.5;42.90000000002328;
80;57.90000000002328;43.29999999998836;
81;58.100000000034925;43;
82;59.600000000034925;42.59999999997672;
83;57.5;43;
84;57.79999999998836;42.70000000001164;
85;57.59999999997672;43.100000000034925;
86;58;42.399999999965075;
87;57.70000000001164;43.09999999997672;
88;59.20000000001164;42.70000000001164;
89;57.100000000034925;42.90000000002328;
90;57.800000000046566;43;
91;57.70000000001164;42.5;
92;57.29999999998836;43.100000000034925;
93;57.90000000002328;43.09999999997672;
94;57.90000000002328;43.20000000001164;
95;57.20000000001164;43.20000000001164;
96;57.5;43.199999999953434;
97;57.699999999953434;43.100000000034925;
98;57.70000000001164;42.899999999965075;
99;57.399999999965075;43.40000000002328;
100;57.79999999998836;42.70000000001164;
101;58.20000000001164;42.79999999998836;
102;58.199999999953434;42.70000000001164;
103;57.70000000001164;43;
104;57.79999999998836;42.59999999997672;
105;57.5;42.699999999953434;
106;65.70000000001164;42.40000000002328;
107;58.09999999997672;42;
108;57.59999999997672;42.70000000001164;
109;58;42.5;
110;57.29999999998836;42.29999999998836;
111;60.5;43;
112;58.09999999997672;44.5;
113;57;43.899999999965075;
114;57.79999999998836;44.20000000001164;
115;57.399999999965075;44.800000000046566;
116;58.40000000002328;42.90000000002328;
117;58.79999999998836;42.70000000001164;
118;62.09999999997672;42.90000000002328;
119;57.70000000001164;43;
120;58.29999999998836;42.40000000002328;
121;57.79999999998836;42.5;
122;57.899999999965075;42.29999999998836;
123;58.199999999953434;42.800000000046566;
124;58;42.40000000002328;
125;58;42.5;
126;57.70000000001164;42.5;
127;57.5;42.399999999965075;
128;57.5;42.699999999953434;
129;57.09999999997672;43.5;
130;57.79999999998836;43.5;
131;56.899999999965075;43.5;
132;57.70000000001164;43.899999999965075;
133;57.5;43.29999999998836;
134;59.399999999965075;43.40000000002328;
135;57.5;43.40000000002328;
136;57.40000000002328;43.5;
137;57.59999999997672;43.29999999998836;
138;57.699999999953434;43.100000000034925;
139;57.199999999953434;43;
140;57.100000000034925;43;
141;57.59999999997672;43.100000000034925;
142;60.899999999965075;42.79999999998836;
143;58.399999999965075;42.70000000001164;
144;58.899999999965075;42.70000000001164;
145;59.09999999997672;42.70000000001164;
146;67;43.40000000002328;
147;60.5;43.79999999998836;
148;57.5;43;
149;57.09999999997672;43.300000000046566;
150;57.40000000002328;43.70000000001164;
151;57.20000000001164;44;
152;57.100000000034925;44.5;
153;57.79999999998836;43.79999999998836;
154;57.90000000002328;42.399999999965075;
155;58.40000000002328;42.199999999953434;
156;58.20000000001164;42.40000000002328;
157;59.40000000002328;42.5;
158;57.40000000002328;42.40000000002328;
159;57.5;42.59999999997672;
160;57.70000000001164;42.09999999997672;
161;57.5;42;
162;57.79999999998836;42.29999999998836;
163;57.79999999998836;42.300000000046566;
164;57.600000000034925;41.5;
165;57.100000000034925;41.59999999997672;
166;57.90000000002328;42.09999999997672;
167;57.399999999965075;42.100000000034925;
168;57.5;41.59999999997672;
169;56.79999999998836;41.20000000001164;
170;60.5;41.29999999998836;
171;59.40000000002328;43.09999999997672;
172;65.40000000002328;43.29999999998836;
173;58;43.699999999953434;
174;57.300000000046566;43.59999999997672;
175;58.29999999998836;43.100000000034925;
176;57.899999999965075;42.29999999998836;
177;58.40000000002328;41.699999999953434;
178;61.899999999965075;41.70000000001164;
179;58.40000000002328;41.59999999997672;
180;58.5;41.59999999997672;
181;57.90000000002328;41.29999999998836;
182;58.5;41.79999999998836;
183;58.70000000001164;41.90000000002328;
184;59.09999999997672;41.90000000002328;
185;59.59999999997672;42;
186;59.79999999998836;41.600000000034925;
187;59.79999999998836;41.79999999998836;
188;57.79999999998836;41.70000000001164;
189;57.79999999998836;41.90000000002328;
190;57.5;41.899999999965075;
191;70.69999999995343;41.600000000034925;
192;61;42.100000000034925;
193;57.199999999953434;42.600000000034925;
194;57.40000000002328;42.399999999965075;
195;57.90000000002328;42.5;
196;58;42.09999999997672;
197;68.40000000002328;41.899999999965075;
198;58.29999999998836;41.899999999965075;
199;58.399999999965075;42;
200;58.5;41.90000000002328;
201;57.79999999998836;42.100000000034925;
202;62.5;41.79999999998836;
203;57.59999999997672;42.29999999998836;
204;58.20000000001164;41.90000000002328;
205;58.09999999997672;41.79999999998836;
206;58.29999999998836;41.600000000034925;
207;57.90000000002328;41.79999999998836;
208;58.199999999953434;42.40000000002328;
209;57.79999999998836;41.59999999997672;
210;58.40000000002328;42.09999999997672;
211;58.199999999953434;42.40000000002328;
212;57.90000000002328;42.399999999965075;
