Run;JS 16;WASM 16;JS 32;WASM 32;JS 64;WASM 64;JS 128;WASM 128;JS 256;WASM 256;JS 512;WASM 512;JS 768;WASM 768;JS 1024;WASM 1024;
277;0;0;0;0;0;1;3;1;13;4;46;10;71;21;134;44;
278;1;0;0;0;1;0;3;1;13;3;52;15;105;30;206;64;
279;0;0;0;0;1;0;3;1;14;4;49;11;69;18;123;57;
280;0;0;0;0;1;0;3;1;14;4;42;10;84;19;127;37;
281;0;0;0;0;1;0;1;1;9;2;30;8;60;18;108;32;
282;0;0;0;0;0;0;1;1;7;2;27;8;62;18;106;34;
283;0;0;0;0;1;0;2;1;11;3;26;8;66;20;112;31;
284;0;0;0;0;0;1;1;1;7;2;28;8;66;19;115;34;
285;0;0;1;0;0;0;2;1;6;2;29;10;63;20;122;32;
286;0;0;0;0;0;0;1;1;6;2;28;8;62;18;111;32;
287;0;0;1;0;1;1;4;2;12;4;32;8;62;18;112;35;
288;0;0;1;0;1;1;4;1;11;4;33;8;58;18;109;32;
289;0;0;0;0;1;0;2;0;7;2;27;9;62;16;109;32;
290;0;0;0;0;1;0;2;0;7;2;27;8;61;18;110;32;
291;0;0;0;0;1;0;1;1;7;1;28;8;61;17;110;31;
292;0;0;0;0;0;1;1;1;6;2;27;8;62;16;116;32;
293;0;0;0;0;0;1;1;1;6;2;27;7;63;18;109;32;
294;0;0;0;0;1;0;1;1;6;2;25;7;60;16;107;32;
295;0;0;0;0;1;0;2;0;7;2;28;8;60;18;108;31;
296;0;0;0;0;0;0;2;0;7;1;24;8;61;18;108;31;
297;0;0;0;0;1;0;1;1;6;2;26;8;61;18;108;32;
298;0;0;1;0;0;0;2;0;6;2;25;7;55;16;97;30;
299;0;0;1;0;0;0;2;0;7;2;24;7;55;17;98;29;
300;0;0;1;0;0;0;2;0;6;2;25;7;55;16;99;29;
301;0;0;0;0;0;1;1;1;6;2;24;7;56;16;99;29;
302;0;0;0;0;0;0;2;0;7;2;24;8;57;17;107;31;
303;0;0;0;0;0;1;1;1;6;2;26;8;60;18;106;31;
